ID,Sex,Age,Education,Income,Settlement size,Marital status_single,Occupation_skilled employee / official,Occupation_unemployed / unskilled
100000001,0,67,2.0,124670,2,True,True,False
100000002,1,22,1.0,150773,2,False,True,False
100000003,0,49,1.0,89210,0,True,False,True
100000004,0,45,1.0,171565,1,True,True,False
100000005,0,53,1.0,149031,1,True,True,False
100000006,0,35,1.0,144848,0,True,False,True
100000007,0,53,1.0,156495,1,True,True,False
100000008,0,35,1.0,193621,1,True,False,False
100000009,0,61,2.0,151591,0,False,False,True
100000010,0,28,1.0,174646,0,False,False,False
100000011,1,25,1.0,108469,0,False,True,False
100000012,1,24,1.0,127596,0,False,True,False
100000013,1,22,1.0,108687,2,False,True,False
100000014,0,60,2.0,89374,0,True,False,True
100000015,1,28,1.0,102899,1,False,True,False
100000016,1,32,1.0,88428,0,False,False,True
100000017,0,53,1.0,125550,0,True,True,False
100000018,0,25,0.0,157434,2,True,True,False
100000019,1,44,2.0,261952,2,False,False,False
100000020,0,31,0.0,144657,1,True,True,False
100000021,0,48,1.0,118777,1,True,True,False
100000022,0,44,1.0,147511,1,True,True,False
100000023,0,48,1.0,89804,0,True,False,True
100000024,0,44,1.0,134918,2,True,True,False
100000025,0,26,1.0,103667,2,False,True,False
100000026,0,36,1.0,71909,0,True,False,True
100000027,0,39,1.0,68264,0,False,False,True
100000028,1,42,2.0,163025,1,False,True,False
100000029,0,34,1.0,119307,1,True,True,False
100000030,0,63,2.0,175882,0,True,True,False
100000031,0,36,1.0,159646,1,False,True,False
100000032,0,27,0.0,120131,1,True,True,False
100000033,0,30,0.0,162745,2,True,True,False
100000034,0,57,2.0,87605,0,True,False,True
100000035,1,33,1.0,155569,1,False,False,False
100000036,0,25,0.0,104505,0,True,False,True
100000037,0,31,0.0,143385,2,True,True,False
100000038,0,37,1.0,127676,1,True,True,False
100000039,0,37,1.0,119276,1,True,True,False
100000040,0,24,0.0,92542,1,True,True,False
100000041,0,30,0.0,163329,1,True,False,False
100000042,0,26,1.0,130921,0,False,True,False
100000043,0,44,1.0,133658,0,True,False,True
100000044,0,24,1.0,155104,1,False,True,False
100000045,1,58,2.0,142335,1,False,False,True
100000046,1,35,1.0,138387,1,False,False,False
100000047,0,39,1.0,140182,0,True,True,False
100000048,1,23,1.0,65421,0,False,False,True
100000049,0,39,1.0,130500,0,True,False,True
100000050,1,28,1.0,122831,0,False,True,False
100000051,0,29,0.0,84531,0,True,False,True
100000052,0,30,0.0,180196,2,True,False,False
100000053,0,25,0.0,92058,2,True,True,False
100000054,0,31,0.0,117158,0,True,True,False
100000055,0,57,2.0,135830,1,True,True,False
100000056,0,26,0.0,58258,0,True,False,True
100000057,0,52,1.0,202575,2,True,False,False
100000058,1,31,1.0,183657,1,False,True,False
100000059,1,23,1.0,152267,1,False,False,False
100000060,1,23,1.0,115240,0,False,False,True
100000061,0,27,1.0,106955,2,False,True,False
100000062,0,50,1.0,123641,1,True,True,False
100000063,0,61,2.0,166410,1,True,False,False
100000064,0,25,0.0,227385,2,True,True,False
100000065,1,26,1.0,118372,1,False,True,False
100000066,0,48,1.0,148115,1,True,True,False
100000067,1,29,1.0,111069,0,False,True,False
100000068,0,22,1.0,139780,0,False,True,False
100000069,0,37,1.0,106978,2,True,True,False
100000070,1,25,1.0,110019,2,False,True,False
100000071,1,30,1.0,169102,1,False,True,False
100000072,0,46,1.0,73703,0,True,False,True
100000073,0,51,1.0,141858,2,True,False,False
100000074,1,41,2.0,135959,0,False,False,True
100000075,0,40,1.0,140888,2,True,False,False
100000076,0,66,2.0,157299,2,True,False,False
100000077,0,34,1.0,125187,1,True,True,False
100000078,0,51,1.0,155486,2,True,True,False
100000079,0,39,1.0,151697,0,True,False,True
100000080,0,22,1.0,126400,1,False,True,False
100000081,1,44,2.0,159246,2,False,True,False
100000082,0,47,1.0,136138,1,True,True,False
100000083,1,24,1.0,84792,0,False,False,True
100000084,1,58,2.0,100210,0,False,False,True
100000085,0,52,1.0,93706,0,True,False,True
100000086,1,29,1.0,133783,1,False,False,False
100000087,1,27,1.0,110064,2,False,True,False
100000088,0,47,1.0,241068,1,True,True,False
100000089,0,30,0.0,149022,2,True,False,False
100000090,0,28,0.0,92973,2,True,True,False
100000091,0,56,1.0,110605,1,True,True,False
100000092,0,54,1.0,116604,1,True,True,False
100000093,1,33,1.0,71070,0,False,False,True
100000094,0,20,0.0,128678,1,True,True,False
100000095,0,54,1.0,165230,2,True,True,False
100000096,0,58,2.0,268340,1,True,True,False
100000097,1,61,2.0,135070,1,False,True,False
100000098,0,34,1.0,134794,2,True,True,False
100000099,0,36,1.0,120153,1,True,True,False
100000100,0,36,1.0,195465,2,True,False,False
100000101,0,41,1.0,93372,0,False,False,True
100000102,0,24,0.0,110446,0,True,True,False
100000103,1,24,1.0,95186,1,False,True,False
100000104,0,35,1.0,115343,1,True,True,False
100000105,0,26,1.0,107276,1,False,True,False
100000106,0,39,1.0,244716,2,True,False,False
100000107,0,39,1.0,183108,2,True,False,False
100000108,0,32,0.0,152876,2,True,True,False
100000109,1,30,1.0,165147,0,False,True,False
100000110,0,35,1.0,140520,0,False,True,False
100000111,0,31,1.0,124203,1,False,True,False
100000112,1,23,1.0,107205,1,False,True,False
100000113,0,28,0.0,121432,2,True,False,True
100000114,1,25,1.0,162445,0,False,True,False
100000115,0,35,1.0,134112,1,False,True,False
100000116,0,47,1.0,131842,1,True,True,False
100000117,1,30,1.0,189896,0,False,False,False
100000118,1,27,1.0,109099,2,False,True,False
100000119,1,23,1.0,153539,1,False,True,False
100000120,0,36,1.0,180495,1,False,False,False
100000121,1,25,1.0,104653,2,False,True,False
100000122,1,41,2.0,166933,2,False,False,False
100000123,0,24,0.0,66118,0,True,False,True
100000124,0,63,2.0,135754,0,True,True,False
100000125,1,27,1.0,116103,2,False,True,False
100000126,0,30,0.0,104293,1,True,True,False
100000127,0,40,1.0,71702,0,False,False,True
100000128,0,30,0.0,99066,2,True,True,False
100000129,0,34,1.0,143979,2,True,False,False
100000130,1,29,1.0,123818,0,False,True,False
100000131,1,24,1.0,176714,2,False,True,False
100000132,0,29,0.0,149249,2,True,True,False
100000133,0,27,0.0,77535,0,True,False,True
100000134,0,47,1.0,116540,1,True,True,False
100000135,1,21,1.0,194728,0,False,True,False
100000136,1,38,1.0,109311,2,False,True,False
100000137,0,27,0.0,204723,2,True,True,False
100000138,0,66,2.0,126003,0,True,False,True
100000139,0,35,1.0,123109,1,True,True,False
100000140,1,44,2.0,108251,0,False,False,True
100000141,0,27,1.0,89908,0,False,False,True
100000142,1,30,1.0,176057,1,False,False,False
100000143,0,27,0.0,144332,2,True,False,False
100000144,0,22,0.0,101185,1,True,True,False
100000145,1,23,1.0,107406,2,False,True,False
100000146,0,30,0.0,140665,1,True,True,False
100000147,1,39,2.0,106461,0,False,True,False
100000148,1,51,2.0,127825,0,False,True,False
100000149,0,28,0.0,133898,1,True,True,False
100000150,0,46,1.0,152383,2,True,True,False
100000151,0,42,1.0,119926,0,True,True,False
100000152,0,38,1.0,108784,2,True,True,False
100000153,0,24,0.0,153286,1,True,True,False
100000154,1,29,1.0,214204,2,False,True,False
100000155,0,36,1.0,208101,2,True,False,False
100000156,1,20,1.0,95355,1,False,True,False
100000157,0,48,1.0,124156,1,True,True,False
100000158,0,45,2.0,72215,0,False,False,True
100000159,0,38,1.0,146529,2,True,True,False
100000160,0,34,1.0,75343,0,True,False,True
100000161,0,36,1.0,129789,1,True,True,False
100000162,1,30,1.0,101153,1,False,True,False
100000163,0,36,1.0,127833,2,True,True,False
100000164,0,70,2.0,224998,2,True,False,False
100000165,0,36,1.0,124445,2,True,True,False
100000166,0,32,0.0,141116,1,True,True,False
100000167,1,33,1.0,104276,2,False,True,False
100000168,1,20,1.0,147687,2,False,True,False
100000169,1,25,1.0,125168,1,False,True,False
100000170,0,31,1.0,115369,2,False,True,False
100000171,0,33,1.0,95445,0,True,True,False
100000172,1,26,1.0,95159,1,False,True,False
100000173,1,34,1.0,153031,2,False,False,False
100000174,0,33,1.0,108899,0,True,True,False
100000175,0,26,0.0,113515,1,True,True,False
100000176,1,53,2.0,211229,0,False,False,False
100000177,0,42,2.0,121307,0,False,True,False
100000178,0,52,1.0,131727,2,True,True,False
100000179,0,31,0.0,133574,1,True,False,False
100000180,0,65,2.0,117334,0,True,True,False
100000181,0,28,1.0,177291,2,False,True,False
100000182,0,30,1.0,168763,1,False,False,False
100000183,0,40,1.0,77720,0,True,False,True
100000184,0,50,1.0,176645,2,True,True,False
100000185,0,36,1.0,106205,1,True,True,False
100000186,0,31,0.0,97785,1,True,True,False
100000187,1,74,3.0,214364,1,False,False,False
100000188,0,68,2.0,74525,0,True,False,True
100000189,0,20,1.0,98988,0,False,True,False
100000190,1,33,1.0,133561,1,False,True,False
100000191,0,54,1.0,217651,2,True,False,False
100000192,0,34,1.0,116525,0,True,False,True
100000193,0,36,1.0,135302,2,True,True,False
100000194,0,29,1.0,106434,1,False,True,False
100000195,0,21,0.0,128350,2,True,True,False
100000196,1,34,1.0,147626,2,False,False,False
100000197,1,28,1.0,102697,0,False,True,False
100000198,1,27,1.0,120262,0,False,True,False
100000199,0,36,1.0,124214,2,True,True,False
100000200,0,40,1.0,175223,1,False,False,False
100000201,0,52,1.0,137467,0,True,True,False
100000202,0,27,1.0,65815,0,False,False,True
100000203,0,26,0.0,129864,1,True,True,False
100000204,0,21,1.0,88475,1,False,True,False
100000205,0,38,1.0,74666,0,True,False,True
100000206,0,38,1.0,222294,2,True,False,False
100000207,0,43,1.0,112878,0,True,True,False
100000208,0,26,0.0,103411,2,True,True,False
100000209,0,21,1.0,112868,0,False,False,True
100000210,0,55,1.0,157940,2,True,True,False
100000211,0,33,1.0,115835,2,True,True,False
100000212,1,45,2.0,109807,0,False,False,True
100000213,0,50,1.0,150699,1,True,True,False
100000214,0,66,2.0,178967,0,True,False,False
100000215,0,51,1.0,132767,0,True,True,False
100000216,1,39,2.0,86152,0,False,False,True
100000217,0,31,0.0,114528,2,True,True,False
100000218,0,23,0.0,133912,1,True,True,False
100000219,0,24,1.0,81210,0,False,False,True
100000220,1,64,3.0,131242,0,False,True,False
100000221,0,26,1.0,68804,0,False,False,True
100000222,1,23,1.0,96961,1,False,True,False
100000223,0,30,0.0,90719,2,True,True,False
100000224,0,32,0.0,114116,1,True,True,False
100000225,0,30,0.0,128639,1,True,True,False
100000226,0,27,0.0,106623,1,True,True,False
100000227,0,27,0.0,236264,1,True,True,False
100000228,0,53,1.0,207783,1,True,False,False
100000229,0,22,0.0,91739,1,True,True,False
100000230,0,22,0.0,107780,2,True,True,False
100000231,0,26,0.0,139157,2,True,True,False
100000232,0,51,1.0,121751,0,True,False,True
100000233,0,35,1.0,121974,0,True,True,False
100000234,0,25,1.0,70320,0,False,False,True
100000235,0,42,1.0,78327,0,True,False,True
100000236,0,30,0.0,131433,0,True,False,False
100000237,0,23,0.0,167076,2,True,False,True
100000238,0,61,2.0,130788,0,False,False,True
100000239,1,35,1.0,107408,1,False,True,False
100000240,0,39,1.0,115323,1,True,True,False
100000241,1,29,1.0,99012,0,False,True,False
100000242,0,51,1.0,115996,1,True,True,False
100000243,0,24,0.0,123353,1,True,True,False
100000244,1,27,1.0,100008,0,False,True,False
100000245,1,35,1.0,125105,0,False,False,True
100000246,0,25,0.0,92020,2,True,True,False
100000247,0,52,1.0,108365,2,True,True,False
100000248,0,35,1.0,112979,0,True,True,False
100000249,0,26,0.0,117221,1,True,True,False
100000250,1,22,1.0,88800,2,False,True,False
100000251,1,39,2.0,115099,0,False,False,True
100000252,1,46,2.0,113399,0,False,False,True
100000253,1,24,1.0,115879,1,False,True,False
100000254,0,35,1.0,141270,2,True,True,False
100000255,0,24,0.0,107633,1,True,True,False
100000256,0,27,0.0,131751,0,True,False,True
100000257,0,35,1.0,83687,0,True,False,True
100000258,0,29,1.0,106828,2,False,True,False
100000259,1,23,1.0,135537,1,False,True,False
100000260,1,57,2.0,107142,0,False,False,True
100000261,0,27,0.0,97446,1,True,True,False
100000262,1,55,2.0,126357,2,False,True,False
100000263,0,36,1.0,169617,1,True,False,False
100000264,1,57,2.0,108945,0,False,False,True
100000265,0,32,0.0,67345,0,True,False,True
100000266,0,37,1.0,106215,0,True,True,False
100000267,0,36,1.0,149237,0,True,True,False
100000268,1,38,1.0,112124,0,False,True,False
100000269,0,45,2.0,215150,2,False,False,False
100000270,0,25,0.0,89534,1,True,True,False
100000271,0,32,0.0,111082,2,True,True,False
100000272,1,37,1.0,137069,1,False,True,False
100000273,0,36,1.0,244541,2,True,False,False
100000274,0,28,0.0,120712,1,True,True,False
100000275,0,34,1.0,175367,0,False,False,True
100000276,0,32,0.0,111418,1,True,True,False
100000277,1,26,1.0,110913,0,False,True,False
100000278,0,49,2.0,84267,0,False,False,True
100000279,1,32,1.0,136886,2,False,True,False
100000280,0,29,0.0,144884,2,True,False,False
100000281,0,23,0.0,151180,1,True,True,False
100000282,0,50,1.0,114997,1,True,True,False
100000283,0,49,1.0,100961,0,True,False,True
100000284,0,63,2.0,124849,2,True,True,False
100000285,0,37,1.0,152308,2,False,True,False
100000286,1,35,1.0,167945,1,False,False,True
100000287,0,26,0.0,126706,2,True,True,False
100000288,0,31,0.0,210017,2,True,False,False
100000289,1,49,2.0,125665,1,False,True,False
100000290,0,48,2.0,111184,1,False,True,False
100000291,0,26,1.0,94134,0,False,True,False
100000292,0,28,1.0,214620,1,False,False,False
100000293,1,44,2.0,193816,1,False,False,False
100000294,0,56,1.0,168714,1,True,True,False
100000295,0,46,2.0,202997,1,False,False,False
100000296,1,26,1.0,192451,2,False,True,False
100000297,1,20,1.0,127928,2,False,True,False
100000298,0,45,1.0,78253,0,True,False,True
100000299,0,43,1.0,118446,1,True,True,False
100000300,0,32,0.0,161379,2,True,True,False
100000301,1,54,2.0,56622,0,False,False,True
100000302,1,42,2.0,146117,1,False,True,False
100000303,0,37,1.0,90418,0,True,False,True
100000304,0,49,1.0,109053,0,True,True,False
100000305,0,44,1.0,219319,0,True,True,False
100000306,0,33,1.0,144701,1,False,True,False
100000307,1,24,1.0,102425,0,False,False,True
100000308,0,33,1.0,79867,0,False,False,True
100000309,1,24,1.0,107114,2,False,True,False
100000310,0,22,1.0,62263,0,False,False,True
100000311,0,40,1.0,92567,0,True,False,True
100000312,0,25,0.0,146349,0,True,True,False
100000313,1,26,1.0,141825,1,False,True,False
100000314,0,25,1.0,68582,0,False,False,True
100000315,0,29,0.0,85476,0,True,False,True
100000316,0,31,0.0,111091,2,True,True,False
100000317,0,38,1.0,67110,0,True,False,True
100000318,1,48,2.0,126154,0,False,False,True
100000319,0,32,0.0,92257,2,True,True,False
100000320,1,27,1.0,93605,0,False,False,True
100000321,0,28,1.0,165190,0,False,False,False
100000322,0,32,1.0,107195,0,False,True,False
100000323,0,34,1.0,145059,0,True,False,False
100000324,0,28,0.0,148363,0,True,True,False
100000325,1,36,1.0,105681,2,False,True,False
100000326,0,39,1.0,93732,0,True,False,True
100000327,0,49,1.0,154778,2,True,True,False
100000328,1,34,1.0,149356,2,False,True,False
100000329,0,31,0.0,145670,1,True,True,False
100000330,0,28,0.0,101589,2,True,True,False
100000331,0,75,2.0,213333,1,True,False,False
100000332,1,30,1.0,122420,0,False,True,False
100000333,1,24,1.0,209856,1,False,False,False
100000334,1,24,1.0,181003,0,False,False,True
100000335,0,23,0.0,117804,1,True,True,False
100000336,0,44,2.0,160650,1,False,False,False
100000337,1,23,1.0,84611,0,False,False,True
100000338,1,24,1.0,98479,2,False,True,False
100000339,0,28,0.0,122359,2,True,True,False
100000340,0,31,1.0,81394,0,False,False,True
100000341,1,24,1.0,150372,1,False,True,False
100000342,1,26,1.0,92385,0,False,False,True
100000343,0,25,1.0,149851,2,False,True,False
100000344,0,33,1.0,167939,1,True,False,False
100000345,0,37,1.0,115426,0,True,False,True
100000346,1,43,2.0,85402,0,False,False,True
100000347,0,23,0.0,95815,2,True,True,False
100000348,1,23,1.0,97518,0,False,False,True
100000349,0,34,1.0,87355,0,True,False,True
100000350,0,32,0.0,145933,1,True,True,False
100000351,1,23,1.0,97307,0,False,True,False
100000352,1,29,1.0,108434,2,False,True,False
100000353,0,38,1.0,151312,1,True,False,False
100000354,0,28,0.0,141847,1,True,True,False
100000355,0,46,1.0,130675,2,True,True,False
100000356,0,23,0.0,69309,0,True,False,True
100000357,0,49,1.0,121466,2,True,True,False
100000358,0,26,0.0,153586,2,True,False,False
100000359,0,28,1.0,92849,0,False,True,False
100000360,1,23,1.0,108539,2,False,True,False
100000361,0,61,2.0,129556,2,True,True,False
100000362,0,37,1.0,170146,0,True,False,False
100000363,1,36,1.0,135383,1,False,True,False
100000364,0,21,1.0,96769,2,False,True,False
100000365,0,25,0.0,43684,0,True,False,True
100000366,0,36,1.0,103521,0,True,True,False
100000367,0,27,0.0,118499,1,True,True,False
100000368,1,22,1.0,119684,2,False,True,False
100000369,0,42,1.0,126586,1,True,True,False
100000370,1,40,2.0,136812,2,False,True,False
100000371,0,36,1.0,118277,1,True,True,False
100000372,0,33,1.0,144597,1,True,True,False
100000373,1,23,1.0,106043,0,False,True,False
100000374,0,63,2.0,272314,2,True,False,False
100000375,1,60,2.0,309364,2,False,False,False
100000376,1,37,1.0,170386,1,False,True,False
100000377,0,34,1.0,112458,0,False,True,False
100000378,0,36,1.0,96840,1,True,True,False
100000379,0,57,2.0,281923,1,True,False,False
100000380,1,52,2.0,95551,0,False,False,True
100000381,0,39,1.0,112347,2,True,True,False
100000382,1,38,1.0,260977,2,False,False,False
100000383,1,25,1.0,99354,0,False,True,False
100000384,0,26,0.0,111509,2,True,True,False
100000385,0,26,0.0,105252,0,True,False,True
100000386,1,25,1.0,108522,0,False,True,False
100000387,1,21,1.0,94655,1,False,True,False
100000388,0,40,1.0,201699,1,True,False,False
100000389,0,27,0.0,139868,2,True,True,False
100000390,1,27,1.0,102543,1,False,True,False
100000391,0,30,1.0,134467,2,False,False,False
100000392,1,19,1.0,111187,0,False,False,True
100000393,0,39,1.0,152302,1,True,False,False
100000394,1,31,1.0,110610,2,False,True,False
100000395,0,31,0.0,137827,2,True,False,False
100000396,0,32,0.0,220923,2,True,True,False
100000397,1,55,2.0,165717,2,False,False,False
100000398,0,46,2.0,122299,0,False,True,False
100000399,0,46,2.0,120499,0,False,True,False
100000400,1,43,2.0,126449,0,False,False,True
100000401,0,39,1.0,108315,2,False,True,False
100000402,0,28,1.0,112515,1,False,True,False
100000403,0,27,0.0,164559,1,True,True,False
100000404,0,27,0.0,59238,0,True,False,True
100000405,0,43,1.0,131133,0,True,True,False
100000406,0,22,1.0,109188,0,False,True,False
100000407,0,43,1.0,115393,1,True,True,False
100000408,0,27,1.0,94711,2,False,True,False
100000409,0,26,1.0,171860,0,False,False,False
100000410,0,28,1.0,139414,2,False,True,False
100000411,1,20,1.0,110931,1,False,True,False
100000412,0,35,1.0,187549,2,True,False,False
100000413,0,42,1.0,145508,0,True,False,False
100000414,0,40,1.0,104240,0,True,False,True
100000415,1,35,1.0,108272,1,False,True,False
100000416,0,35,1.0,144004,2,True,True,False
100000417,0,33,1.0,81083,0,True,False,True
100000418,1,23,1.0,166763,1,False,True,False
100000419,1,31,1.0,175530,1,False,False,False
100000420,1,33,1.0,112422,1,False,True,False
100000421,1,20,1.0,154134,2,False,True,False
100000422,0,30,0.0,112401,1,True,True,False
100000423,0,47,1.0,85690,0,True,False,True
100000424,0,34,1.0,145896,2,True,False,False
100000425,1,25,1.0,122552,2,False,True,False
100000426,0,21,1.0,115494,2,False,True,False
100000427,0,29,0.0,109467,0,True,True,False
100000428,0,46,1.0,148226,2,True,True,False
100000429,0,20,0.0,88559,1,True,True,False
100000430,1,55,2.0,62393,0,False,False,True
100000431,0,74,2.0,122133,0,True,False,True
100000432,0,29,0.0,230883,2,True,False,False
100000433,0,36,1.0,136689,2,True,False,False
100000434,0,33,1.0,109145,0,False,True,False
100000435,0,25,0.0,100449,2,True,True,False
100000436,0,25,1.0,106253,0,False,True,False
100000437,0,23,1.0,84747,0,False,False,True
100000438,1,37,1.0,149465,1,False,True,False
100000439,0,65,2.0,84435,0,True,False,True
100000440,1,26,1.0,51681,0,False,False,True
100000441,0,39,1.0,139198,1,True,False,False
100000442,1,30,1.0,106577,1,False,True,False
100000443,0,29,0.0,117372,2,True,True,False
100000444,0,41,1.0,69609,0,True,False,True
100000445,1,30,1.0,178947,2,False,False,False
100000446,1,41,2.0,81743,0,False,False,True
100000447,1,34,1.0,111900,1,False,True,False
100000448,0,35,1.0,121650,0,True,True,False
100000449,1,55,2.0,172639,2,False,False,False
100000450,0,61,2.0,175740,1,False,True,False
100000451,0,30,0.0,220050,2,True,False,False
100000452,1,29,1.0,95200,1,False,True,False
100000453,0,34,1.0,113609,1,True,True,False
100000454,0,35,1.0,143552,2,True,False,False
100000455,0,31,0.0,130973,2,True,True,False
100000456,1,29,1.0,145946,2,False,False,False
100000457,0,36,1.0,126206,1,True,True,False
100000458,0,35,1.0,120426,0,True,True,False
100000459,1,27,1.0,91925,2,False,True,False
100000460,0,32,0.0,129630,2,True,True,False
100000461,0,37,1.0,124268,2,True,True,False
100000462,0,36,1.0,105240,1,True,True,False
100000463,1,34,1.0,162180,0,False,False,False
100000464,0,38,1.0,106552,2,True,True,False
100000465,0,34,1.0,105843,2,True,True,False
100000466,0,63,2.0,138327,1,True,True,False
100000467,1,29,1.0,76154,0,False,False,True
100000468,0,32,0.0,155012,1,True,True,False
100000469,1,26,1.0,114369,1,False,True,False
100000470,0,35,1.0,102839,0,True,False,True
100000471,0,22,1.0,132796,0,False,True,False
100000472,1,23,1.0,89742,2,False,True,False
100000473,0,28,0.0,58615,0,True,False,True
100000474,0,36,1.0,130603,2,True,False,False
100000475,0,33,1.0,110340,0,False,True,False
100000476,1,26,1.0,117729,2,False,True,False
100000477,0,24,0.0,130808,0,True,True,False
100000478,0,25,0.0,147402,2,True,True,False
100000479,0,39,1.0,93567,0,True,False,True
100000480,0,44,1.0,109289,1,True,True,False
100000481,1,23,1.0,98742,0,False,False,True
100000482,0,26,0.0,101270,0,True,True,False
100000483,1,57,2.0,187835,1,False,True,False
100000484,1,30,1.0,140741,0,False,True,False
100000485,0,44,1.0,133265,2,True,True,False
100000486,0,47,1.0,148100,2,True,False,False
100000487,0,52,1.0,131021,2,True,True,False
100000488,1,62,2.0,152620,2,False,True,False
100000489,0,35,1.0,85033,0,True,False,True
100000490,0,26,0.0,114514,1,True,True,False
100000491,0,26,0.0,99307,1,True,True,False
100000492,1,42,2.0,219451,2,False,False,False
100000493,1,27,1.0,114007,0,False,True,False
100000494,0,38,1.0,102846,0,True,True,False
100000495,0,39,1.0,81483,0,True,False,True
100000496,0,20,1.0,107779,2,False,True,False
100000497,0,29,0.0,222360,2,True,False,False
